sampling_date,reporting_date,reported,reporting_delay
2021-07-06,2021-08-11,FALSE,36
2021-07-17,2021-08-11,FALSE,25
2021-07-09,2021-08-11,FALSE,33
2021-07-19,2021-08-05,FALSE,17
2021-07-18,2021-07-30,TRUE,12
2021-07-21,2021-07-30,TRUE,9
2021-07-07,2021-07-24,TRUE,17
2021-06-15,2021-07-23,TRUE,38
2021-07-30,2021-09-22,FALSE,54
2021-07-29,2021-09-22,FALSE,55
2021-06-28,2021-07-21,TRUE,23
2021-07-12,2021-07-20,TRUE,8
2021-06-25,2021-07-20,TRUE,25
2021-07-17,2021-09-20,FALSE,65
2021-07-16,2021-09-20,FALSE,66
2021-07-30,2021-09-19,FALSE,51
2021-07-31,2021-09-19,FALSE,50
2021-07-31,2021-09-16,FALSE,47
2021-07-30,2021-09-16,FALSE,48
2021-07-06,2021-07-15,TRUE,9
2021-07-31,2021-09-15,FALSE,46
2021-07-19,2021-09-14,FALSE,57
2021-06-25,2021-09-12,FALSE,79
2021-07-29,2021-09-10,FALSE,43
2021-07-28,2021-09-10,FALSE,44
2021-06-15,2021-07-09,TRUE,24
2021-06-15,2021-07-09,TRUE,24
2021-06-21,2021-07-04,TRUE,13
2021-06-22,2021-07-09,TRUE,17
2021-06-17,2021-07-13,TRUE,26
2021-06-17,2021-07-13,TRUE,26
2021-07-03,2021-07-20,TRUE,17
2021-07-17,2021-08-10,FALSE,24
2021-07-12,2021-08-10,FALSE,29
2021-07-12,2021-08-10,FALSE,29
2021-07-15,2021-08-10,FALSE,26
2021-07-30,2021-08-11,FALSE,12
2021-07-29,2021-08-11,FALSE,13
2021-07-27,2021-08-20,FALSE,24
2021-07-26,2021-08-27,FALSE,32
2021-07-17,2021-09-15,FALSE,60
2021-07-17,2021-09-14,FALSE,59
2021-06-15,2021-09-21,FALSE,98
2021-06-13,2021-09-21,FALSE,100
2021-07-27,2021-09-10,FALSE,45
2021-06-21,2021-07-04,TRUE,13
2021-07-26,2021-08-31,FALSE,36
2021-06-10,2021-07-09,TRUE,29
2021-06-22,2021-07-13,TRUE,21
2021-07-06,2021-07-15,TRUE,9
2021-07-06,2021-07-15,TRUE,9
2021-07-08,2021-07-20,TRUE,12
2021-06-18,2021-07-20,TRUE,32
2021-07-03,2021-07-21,TRUE,18
2021-07-06,2021-07-21,TRUE,15
2021-07-07,2021-07-15,TRUE,8
2021-07-02,2021-07-15,TRUE,13
2021-07-28,2021-09-20,FALSE,54
2021-04-16,2021-08-10,FALSE,116
2021-05-05,2021-08-10,FALSE,97
2021-06-10,2021-09-21,FALSE,103
2021-06-16,2021-07-20,TRUE,34
2021-06-29,2021-07-23,TRUE,24
2021-07-08,2021-07-24,TRUE,16
2021-08-01,2021-08-17,FALSE,16
2021-07-11,2021-07-29,TRUE,18
2021-07-26,2021-08-12,FALSE,17
2021-07-19,2021-07-30,TRUE,11
2021-07-19,2021-07-30,TRUE,11
2021-07-15,2021-08-01,TRUE,17
2021-07-15,2021-08-01,TRUE,17
2021-06-30,2021-07-08,TRUE,8
2021-06-24,2021-07-08,TRUE,14
2021-06-27,2021-07-20,TRUE,23
2021-07-16,2021-08-03,FALSE,18
2021-07-20,2021-08-05,FALSE,16
2021-07-24,2021-08-05,FALSE,12
2021-07-31,2021-08-12,FALSE,12
2021-07-06,2021-07-24,TRUE,18
2021-07-19,2021-08-05,FALSE,17
2021-07-23,2021-09-20,FALSE,59
2021-06-08,2021-07-20,TRUE,42
2021-07-18,2021-08-20,FALSE,33
2021-07-06,2021-07-28,TRUE,22
2021-03-05,2021-07-29,TRUE,146
2021-07-31,2021-08-31,FALSE,31
2021-07-19,2021-07-30,TRUE,11
2021-07-15,2021-08-01,TRUE,17
2021-07-15,2021-08-01,TRUE,17
2021-07-15,2021-08-01,TRUE,17
2021-07-20,2021-08-05,FALSE,16
2021-07-24,2021-08-05,FALSE,12
